ID #,Subj,#,Sec,Title,Dates,Days,Time,Cr/Hr,Status,Instructor,Delivery Method,Loc
918,CHEM,405,2,Biochemistry I,"08/26 - 12/06
12/12 - 12/12","T Th
Th","11:00am - 12:20pm
1:00pm - 3:00pm",3,Full,"Lee, Myoung
FINAL EXAM, EX",,
917,CHEM,405,1,Biochemistry I,"08/26 - 12/06
12/10 - 12/10","M W F
T","12:00pm - 12:50pm
10:30am - 12:30pm",3,Open,"Ruff, Emily
FINAL EXAM, EX",,
903,CHEM,360,2,Chemical Information,"08/26 - 12/06
08/26 - 12/06","W
F","12:00pm - 12:50pm
12:00pm - 12:50pm",2,Open,"Zemke, Jennifer
Zemke, Jennifer",,
877,CHEM,360,1,Chemical Information,"08/26 - 12/06
08/26 - 12/06","M
F","12:00pm - 12:50pm
12:00pm - 12:50pm",2,Full,"Zemke, Jennifer
Zemke, Jennifer",,
899,CHEM,425,2,Analytical Chemistry I,"08/26 - 12/06
08/26 - 12/12
12/11 - 12/11","T Th
Th
W","9:30am - 10:50am
12:30pm - 3:20pm
1:00pm - 3:00pm",4,Open,"Franz, Jeanne
Franz, Jeanne
FINAL EXAM, EX",,
873,CHEM,425,1,Analytical Chemistry I,"08/26 - 12/06
08/26 - 12/12
12/11 - 12/11","T Th
T
W","9:30am - 10:50am
12:30pm - 3:20pm
1:00pm - 3:00pm",4,Full,"Franz, Jeanne
Franz, Jeanne
FINAL EXAM, EX",,
919,CHEM,406,1,Biochemistry I Laboratory,08/26 - 12/12,Th,8:00am - 11:50am,1,Open,"Ruff, Emily",,
921,CHEM,406,3,Biochemistry I Laboratory,08/26 - 12/12,T,2:00pm - 5:50pm,1,Open,"Ruff, Emily",,
922,CHEM,406,4,Biochemistry I Laboratory,08/26 - 12/12,Th,5:00pm - 8:50pm,1,Full,"Mauser, Jonathon",,
923,CHEM,406,5,Biochemistry I Laboratory,08/26 - 12/12,M,1:00pm - 4:50pm,1,Full,"Mauser, Jonathon",,
924,CHEM,406,6,Biochemistry I Laboratory,08/26 - 12/12,Th,12:30pm - 4:20pm,1,Open,"Lee, Myoung",,
920,CHEM,406,2,Biochemistry I Laboratory,08/26 - 12/12,W,2:00pm - 5:50pm,1,Full,"Lee, Myoung",,
