ID #,Subj,#,Sec,Title,Dates,Days,Time,Cr/Hr,Status,Instructor,Delivery Method,Loc
1001,ENG,222,2,Introduction to Creative Writing,"08/26 - 12/06
12/10 - 12/10","T Th
T","3:30pm - 4:50pm
3:30pm - 5:30pm",3,Full,"Oness, Elizabeth
FINAL EXAM, EX",,
2079,MATH,213,2,Calculus II,"08/26 - 12/06
12/11 - 12/11","M T Th F
W","2:00pm - 2:50pm
10:30am - 12:30pm",4,Open,"Windsperger, Lee
FINAL EXAM, EX",,
1992,CHEM,350,5,Principles of Organic Chemistry I,"08/26 - 12/06
08/26 - 12/06
12/11 - 12/11","M W F
W
W","10:00am - 10:50am
1:00pm - 4:50pm
8:00am - 10:00am",4,Open,"Hein, Sara
Hein, Sara
FINAL EXAM, EX",,
903,CHEM,360,2,Chemical Information,"08/26 - 12/06
08/26 - 12/06","W
F","12:00pm - 12:50pm
12:00pm - 12:50pm",2,Open,"Zemke, Jennifer
Zemke, Jennifer",,
1175,MATH,213,1,Calculus II,"08/26 - 12/06
12/12 - 12/12","M T Th F
Th","11:00am - 11:50am
8:00am - 10:00am",4,Open,"Pascual, Felino
FINAL EXAM, EX",,
878,CHEM,350,3,Principles of Organic Chemistry I,"08/26 - 12/06
08/26 - 12/12
08/26 - 12/12
12/09 - 12/09","M W F
Th
Th
M","8:00am - 8:50am
12:30pm - 4:20pm
12:30pm - 4:20pm
8:00am - 10:00am",4,Full,"Nalli, Thomas
Nalli, Thomas
Nalli, Thomas
FINAL EXAM, EX",,
889,CHEM,350,4,Principles of Organic Chemistry I,"08/26 - 12/12
08/26 - 12/06
12/11 - 12/11","Th
M W F
W","8:00am - 11:50am
10:00am - 10:50am
8:00am - 10:00am",4,Open,"Hein, Sara
Hein, Sara
FINAL EXAM, EX",,
1318,PHYS,221,1,University Physics I,"08/26 - 12/12
08/26 - 12/06
12/12 - 12/12","Th
M W F
Th","8:00am - 9:50am
11:00am - 11:50am
8:00am - 10:00am",4,Open,"Moore, Nathan
Moore, Nathan
FINAL EXAM, EX",,
978,ENG,222,1,Introduction to Creative Writing,"08/26 - 12/06
12/09 - 12/09","T Th
M","12:30pm - 1:50pm
10:30am - 12:30pm",3,Full,"Cumberland, Debra
FINAL EXAM, EX",,
1319,PHYS,221,2,University Physics I,"08/26 - 12/06
08/26 - 12/12
12/12 - 12/12","M W F
Th
Th","11:00am - 11:50am
12:00pm - 1:50pm
8:00am - 10:00am",4,Full,"Moore, Nathan
Moore, Nathan
FINAL EXAM, EX",,
879,CHEM,350,1,Principles of Organic Chemistry I,"08/26 - 12/06
08/26 - 12/06
12/09 - 12/09","M W F
T
M","8:00am - 8:50am
2:00pm - 5:50pm
8:00am - 10:00am",4,Full,"Nalli, Thomas
Nalli, Thomas
FINAL EXAM, EX",,
1016,ENG,222,3,Introduction to Creative Writing,"08/26 - 12/06
12/11 - 12/11","M W
W","2:00pm - 3:20pm
10:30am - 12:30pm",3,Full,"Eddy, Delta
FINAL EXAM, EX",,
